Size, Blocks, Threads, Time
67108864, 4096, 4, 52.8345
67108864, 4096, 8, 48.5979
67108864, 4096, 16, 47.6437
67108864, 4096, 32, 45.9392
67108864, 4096, 64, 46.9982
67108864, 4096, 128, 45.8586
67108864, 4096, 256, 45.8092
67108864, 4096, 512, 47.0223
67108864, 4096, 1024, 45.7905
67108864, 8192, 2, 73.3379
67108864, 8192, 4, 53.9001
67108864, 8192, 8, 53.8508
67108864, 8192, 16, 55.0535
67108864, 8192, 32, 45.9384
67108864, 8192, 64, 46.9401
67108864, 8192, 128, 45.8522
67108864, 8192, 256, 46.9617
67108864, 8192, 512, 45.8592
67108864, 8192, 1024, 45.8495
67108864, 16384, 2, 60.2078
67108864, 16384, 4, 52.8412
67108864, 16384, 8, 48.5721
67108864, 16384, 16, 47.764
67108864, 16384, 32, 45.9866
67108864, 16384, 64, 46.7636
67108864, 16384, 128, 45.8958
67108864, 16384, 256, 45.8432
67108864, 16384, 512, 46.9901
67108864, 16384, 1024, 45.9769
67108864, 32768, 2, 59.4244
67108864, 32768, 4, 54.0457
67108864, 32768, 8, 48.6411
67108864, 32768, 16, 47.4444
67108864, 32768, 32, 46.0452
67108864, 32768, 64, 46.8855
67108864, 32768, 128, 45.941
67108864, 32768, 256, 45.847
67108864, 32768, 512, 47.0392
67108864, 32768, 1024, 46.5956
67108864, 65535, 2, 59.4826
67108864, 65535, 4, 54.0229
67108864, 65535, 8, 48.636
67108864, 65535, 16, 47.6365
67108864, 65535, 32, 46.1581
67108864, 65535, 64, 46.9043
67108864, 65535, 128, 46.0077
67108864, 65535, 256, 45.9931
67108864, 65535, 512, 47.7362
67108864, 65535, 1024, 48.46

Size, Blocks, Threads, Time

Size, Blocks, Threads, Time
8388608, 2, 2, 345.023
8388608, 2, 4, 172.64
8388608, 2, 8, 89.1855
8388608, 2, 16, 47.9265
8388608, 2, 32, 27.8076
8388608, 2, 64, 16.8216
8388608, 2, 128, 11.2576
8388608, 2, 256, 8.44634
8388608, 2, 512, 7.12205
8388608, 2, 1024, 6.40328
8388608, 4, 2, 170.916
8388608, 4, 4, 89.0441
8388608, 4, 8, 47.3983
8388608, 4, 16, 26.7991
8388608, 4, 32, 16.7581
8388608, 4, 64, 11.2608
8388608, 4, 128, 8.44734
8388608, 4, 256, 7.08904
8388608, 4, 512, 6.38616
8388608, 4, 1024, 6.05025
